	name	price_high	price_low	price_open	time_period_start	time_period_end	volume_traded	trades_count
192	BTC	572.86	566.86	570.75	2016-09-01T00:00:00.0000000Z	2016-09-02T00:00:00.0000000Z	2833.21048959	3773
193	BTC	574.2	567.03	571.05	2016-09-02T00:00:00.0000000Z	2016-09-03T00:00:00.0000000Z	2996.65467508	2004
194	BTC	598.64	569.01	572.0	2016-09-03T00:00:00.0000000Z	2016-09-04T00:00:00.0000000Z	4645.77734019	3977
195	BTC	609.05	590.88	596.25	2016-09-04T00:00:00.0000000Z	2016-09-05T00:00:00.0000000Z	3951.19879148	4174
196	BTC	607.31	592.46	605.72	2016-09-05T00:00:00.0000000Z	2016-09-06T00:00:00.0000000Z	3838.1094176	4692
197	BTC	609.74	601.0	604.98	2016-09-06T00:00:00.0000000Z	2016-09-07T00:00:00.0000000Z	4038.33754573	2787
198	BTC	615.92	604.7	608.93	2016-09-07T00:00:00.0000000Z	2016-09-08T00:00:00.0000000Z	4502.71072652	3531
199	BTC	628.98	611.66	614.44	2016-09-08T00:00:00.0000000Z	2016-09-09T00:00:00.0000000Z	4354.95251639	4029
200	ETH	298.6	292.3	293.13	2017-08-20T00:00:00.0000000Z	2017-08-21T00:00:00.0000000Z	289.70277589	202
201	ETH	353.0	292.71	297.26	2017-08-21T00:00:00.0000000Z	2017-08-22T00:00:00.0000000Z	24750.689250275	9772
202	ETH	328.8	291.86	319.37	2017-08-22T00:00:00.0000000Z	2017-08-23T00:00:00.0000000Z	17151.965292235	8495
203	ETH	324.68	311.34	313.43	2017-08-23T00:00:00.0000000Z	2017-08-24T00:00:00.0000000Z	11550.126566454	6718
